https://random-status-code.herokuapp.com online false
https://www.alura.com.br/ online true
https://www.globo.com/ online true
https://random-status-code.herokuapp.com online false
https://www.alura.com.br/ online true
https://www.globo.com/ online true
https://random-status-code.herokuapp.com online false
https://www.alura.com.br/ online true
https://www.globo.com/ online true
https://random-status-code.herokuapp.com online false
https://www.alura.com.br/ online true
https://www.globo.com/ online true
https://random-status-code.herokuapp.com online false
https://www.alura.com.br/ online true
https://www.globo.com/ online true
24/01/2023 21:15:18-https://random-status-code.herokuapp.com online false
24/01/2023 21:15:18-https://www.alura.com.br/ online true
24/01/2023 21:15:18-https://www.globo.com/ online true
24/01/2023 21:15:24-https://random-status-code.herokuapp.com online false
24/01/2023 21:15:24-https://www.alura.com.br/ online true
24/01/2023 21:15:24-https://www.globo.com/ online true
24/01/2023 21:15:30-https://random-status-code.herokuapp.com online false
24/01/2023 21:15:31-https://www.alura.com.br/ online true
24/01/2023 21:15:31-https://www.globo.com/ online true
24/01/2023 21:15:37-https://random-status-code.herokuapp.com online false
24/01/2023 21:15:37-https://www.alura.com.br/ online true
24/01/2023 21:15:37-https://www.globo.com/ online true
24/01/2023 21:15:43-https://random-status-code.herokuapp.com online false
24/01/2023 21:15:43-https://www.alura.com.br/ online true
24/01/2023 21:15:43-https://www.globo.com/ online true
25/01/2023 21:05:17-https://random-status-code.herokuapp.com online false
25/01/2023 21:05:18-https://www.alura.com.br/ online true
25/01/2023 21:05:18-https://www.globo.com/ online true
25/01/2023 21:05:24-https://random-status-code.herokuapp.com online false
25/01/2023 21:05:24-https://www.alura.com.br/ online true
